Task_ID,Process_ID,Processor_ID,MI,Speed,Power
T1,T1_P1,P150,2763,2811,1.9
T1,T1_P2,P38,2260,2780,1.49
T1,T1_P3,P33,671,1451,1.6
T1,T1_P4,P79,1993,2182,0.58
T1,T1_P5,P11,1965,2385,1.64
T1,T1_P6,P54,1522,1778,0.6
T1,T1_P7,P171,921,2043,0.66
T1,T1_P8,P91,2793,2774,1.81
T1,T1_P9,P105,1133,2437,1.85
T1,T1_P10,P61,1165,2652,0.6
T1,T1_P11,P46,2188,1569,1.53
T1,T1_P12,P7,1234,1457,0.5
T1,T1_P13,P189,1860,1958,1.0
T1,T1_P14,P106,1516,2918,0.75
T1,T1_P15,P69,1152,1775,1.82
T1,T1_P16,P180,942,1327,1.53
T1,T1_P17,P98,658,1747,0.52
T1,T1_P18,P121,1411,2310,0.59
T1,T1_P19,P52,2385,1209,1.18
T1,T1_P20,P90,1750,1476,1.19
T1,T1_P21,P59,1413,2236,1.56
T1,T1_P22,P7,1291,1457,0.5
T1,T1_P23,P103,1844,2372,1.22
T1,T1_P24,P72,784,1600,1.21
T1,T1_P25,P198,1643,2476,1.54
T1,T1_P26,P90,2586,1476,1.19
T1,T1_P27,P103,2696,2372,1.22
T1,T1_P28,P85,613,1466,0.66
T1,T1_P29,P30,1569,2436,0.86
T1,T1_P30,P46,2878,1569,1.53
T1,T1_P31,P68,656,2888,1.59
T1,T1_P32,P28,2943,2466,1.71
T1,T1_P33,P112,1915,1350,1.54
T1,T1_P34,P187,1784,1781,1.74
T1,T1_P35,P112,2983,1350,1.54
T1,T1_P36,P131,973,1469,0.6
T1,T1_P37,P99,2861,1333,0.64
T1,T1_P38,P49,1543,2960,1.51
T1,T1_P39,P12,2286,2516,1.26
T1,T1_P40,P1,2629,2309,1.83
T1,T1_P41,P138,1307,1135,0.62
T1,T1_P42,P94,2266,1569,1.78
T1,T1_P43,P18,1852,1065,1.06
T1,T1_P44,P160,1785,2103,0.87
T1,T1_P45,P170,1010,1283,1.9
T1,T1_P46,P185,1730,1130,0.58
T1,T1_P47,P130,1766,1114,0.6
T1,T1_P48,P171,2172,2043,0.66
T1,T1_P49,P84,2148,2354,1.7
T1,T1_P50,P179,1711,2285,1.01
T1,T1_P51,P142,1021,2161,0.89
T1,T1_P52,P50,2222,2563,1.06
T1,T1_P53,P171,2052,2043,0.66
T1,T1_P54,P174,1212,2547,1.83
T1,T1_P55,P158,2831,2525,1.02
T1,T1_P56,P78,2163,1740,1.8
T1,T1_P57,P141,501,2931,0.97
T1,T1_P58,P78,1675,1740,1.8
T1,T1_P59,P54,2260,1778,0.6
T1,T1_P60,P149,2984,1810,1.89
T1,T1_P61,P168,1819,1741,1.5
T1,T1_P62,P120,2309,2895,1.6
T1,T1_P63,P114,1375,2493,1.68
T1,T1_P64,P131,2438,1469,0.6
T1,T1_P65,P189,1195,1958,1.0
T1,T1_P66,P169,847,1449,1.33
T1,T1_P67,P73,2611,2698,1.11
T2,T2_P1,P86,882,2583,0.79
T2,T2_P2,P193,1462,2133,1.16
T2,T2_P3,P173,1771,1186,0.9
T2,T2_P4,P58,1315,1704,0.51
T2,T2_P5,P38,600,2780,1.49
T2,T2_P6,P12,1502,2516,1.26
T2,T2_P7,P122,798,2409,0.97
T2,T2_P8,P117,2197,1946,0.78
T2,T2_P9,P162,2857,2529,1.16
T2,T2_P10,P50,2072,2563,1.06
T2,T2_P11,P127,2136,2726,0.59
T2,T2_P12,P63,1104,2494,1.0
T2,T2_P13,P168,522,1741,1.5
T2,T2_P14,P193,936,2133,1.16
T2,T2_P15,P200,2241,2396,0.55
T2,T2_P16,P57,1220,2735,1.38
T2,T2_P17,P179,2621,2285,1.01
T2,T2_P18,P119,705,1552,0.59
T2,T2_P19,P143,1520,2794,1.5
T2,T2_P20,P32,2369,1859,0.62
T2,T2_P21,P35,2403,2206,1.97
T2,T2_P22,P171,2675,2043,0.66
T2,T2_P23,P144,2938,2470,0.97
T2,T2_P24,P82,2312,1142,0.59
T2,T2_P25,P157,2567,1505,0.7
T2,T2_P26,P110,2744,2247,1.68
T2,T2_P27,P115,1151,1501,1.49
T2,T2_P28,P191,2444,1514,1.97
T2,T2_P29,P116,1561,1334,1.23
T2,T2_P30,P193,1512,2133,1.16
T2,T2_P31,P164,1635,1877,0.95
T2,T2_P32,P197,2635,2393,1.92
T2,T2_P33,P125,1479,2402,1.88
T2,T2_P34,P71,2301,2130,0.86
T2,T2_P35,P20,1670,1191,1.93
T2,T2_P36,P61,1612,2652,0.6
T2,T2_P37,P86,1809,2583,0.79
T2,T2_P38,P139,830,1432,1.49
T2,T2_P39,P36,1117,1569,1.3
T2,T2_P40,P60,2068,1541,0.59
T2,T2_P41,P178,1125,1313,0.82
T2,T2_P42,P181,1376,2622,1.78
T2,T2_P43,P17,2199,1864,0.8
T2,T2_P44,P105,1855,2437,1.85
T2,T2_P45,P139,2408,1432,1.49
T2,T2_P46,P107,755,2399,0.5
T2,T2_P47,P53,2220,1189,0.87
T2,T2_P48,P100,2892,1758,1.63
T2,T2_P49,P179,580,2285,1.01
T2,T2_P50,P196,2858,1023,0.67
T2,T2_P51,P98,2453,1747,0.52
T2,T2_P52,P2,1940,1228,1.63
T2,T2_P53,P77,2097,2764,1.12
T2,T2_P54,P108,2704,2327,1.09
T2,T2_P55,P192,2736,2988,0.74
T2,T2_P56,P155,1403,1542,1.31
T2,T2_P57,P125,1398,2402,1.88
T2,T2_P58,P70,2285,1161,1.36
T2,T2_P59,P125,618,2402,1.88
T2,T2_P60,P100,1876,1758,1.63
T2,T2_P61,P172,2156,2010,1.82
T2,T2_P62,P186,1176,1788,1.45
T2,T2_P63,P120,1022,2895,1.6
T2,T2_P64,P160,2687,2103,0.87
T2,T2_P65,P7,2113,1457,0.5
T2,T2_P66,P152,2811,2316,1.43
T2,T2_P67,P170,611,1283,1.9
T2,T2_P68,P22,2255,1476,1.88
T2,T2_P69,P35,2391,2206,1.97
T2,T2_P70,P47,705,1318,1.57
T2,T2_P71,P67,2052,2992,1.31
T2,T2_P72,P84,1366,2354,1.7
T2,T2_P73,P117,1838,1946,0.78
T2,T2_P74,P87,2052,1592,1.3
T2,T2_P75,P72,2226,1600,1.21
T2,T2_P76,P65,835,2098,0.92
T2,T2_P77,P121,579,2310,0.59
T2,T2_P78,P192,2709,2988,0.74
T2,T2_P79,P14,1933,2116,1.44
T2,T2_P80,P58,781,1704,0.51
T2,T2_P81,P200,664,2396,0.55
T2,T2_P82,P194,627,2762,1.56
T2,T2_P83,P64,1316,1940,1.27
T2,T2_P84,P6,1124,1501,0.74
T2,T2_P85,P62,1017,1088,0.55
T2,T2_P86,P122,968,2409,0.97
T2,T2_P87,P145,1392,1644,0.9
T2,T2_P88,P120,1549,2895,1.6
T2,T2_P89,P197,2010,2393,1.92
T2,T2_P90,P43,2981,2429,1.95
T2,T2_P91,P156,969,1285,1.26
T2,T2_P92,P200,1170,2396,0.55
T2,T2_P93,P80,942,1393,1.48
T2,T2_P94,P149,605,1810,1.89
T2,T2_P95,P80,2858,1393,1.48
T2,T2_P96,P174,2037,2547,1.83
T2,T2_P97,P102,1312,1429,1.11
T2,T2_P98,P20,2925,1191,1.93
T2,T2_P99,P177,1494,1224,0.92
T3,T3_P1,P179,1735,2285,1.01
T3,T3_P2,P176,2959,2763,0.73
T3,T3_P3,P31,2818,2116,1.35
T3,T3_P4,P11,1922,2385,1.64
T3,T3_P5,P137,2254,1548,0.56
T3,T3_P6,P170,2017,1283,1.9
T3,T3_P7,P18,2572,1065,1.06
T3,T3_P8,P166,1897,2195,1.71
T3,T3_P9,P4,2220,2518,1.01
T3,T3_P10,P126,932,1664,1.3
T3,T3_P11,P111,1983,2300,0.93
T3,T3_P12,P163,2383,2197,1.31
T3,T3_P13,P182,1126,2393,1.26
T3,T3_P14,P112,1221,1350,1.54
T3,T3_P15,P188,2637,2220,0.57
T3,T3_P16,P167,1606,1817,1.29
T3,T3_P17,P158,2704,2525,1.02
T3,T3_P18,P199,2480,1234,0.72
T3,T3_P19,P120,2284,2895,1.6
T3,T3_P20,P188,2926,2220,0.57
T3,T3_P21,P69,1820,1775,1.82
T3,T3_P22,P63,854,2494,1.0
T3,T3_P23,P72,2346,1600,1.21
T3,T3_P24,P63,2403,2494,1.0
T3,T3_P25,P146,2999,1435,0.7
T3,T3_P26,P172,2052,2010,1.82
T3,T3_P27,P87,617,1592,1.3
T3,T3_P28,P127,1831,2726,0.59
T3,T3_P29,P47,2497,1318,1.57
T3,T3_P30,P55,1953,1198,0.53
T3,T3_P31,P67,1894,2992,1.31
T3,T3_P32,P72,2941,1600,1.21
T3,T3_P33,P180,1631,1327,1.53
T4,T4_P1,P3,2616,1051,1.65
T4,T4_P2,P49,850,2960,1.51
T4,T4_P3,P62,2164,1088,0.55
T4,T4_P4,P126,2774,1664,1.3
T4,T4_P5,P195,1484,2930,1.34
T4,T4_P6,P177,2450,1224,0.92
T4,T4_P7,P166,2510,2195,1.71
T4,T4_P8,P115,570,1501,1.49
T4,T4_P9,P24,1705,2232,1.23
T4,T4_P10,P57,2156,2735,1.38
T4,T4_P11,P178,1496,1313,0.82
T4,T4_P12,P79,2882,2182,0.58
T4,T4_P13,P95,2438,1928,0.65
T4,T4_P14,P142,2674,2161,0.89
T4,T4_P15,P89,2242,2751,0.78
T4,T4_P16,P191,2754,1514,1.97
T4,T4_P17,P85,1941,1466,0.66
T4,T4_P18,P180,2358,1327,1.53
T4,T4_P19,P70,1755,1161,1.36
T4,T4_P20,P65,1444,2098,0.92
T4,T4_P21,P31,1288,2116,1.35
T4,T4_P22,P81,989,2442,1.47
T4,T4_P23,P191,2694,1514,1.97
T4,T4_P24,P196,1258,1023,0.67
T4,T4_P25,P50,1386,2563,1.06
